apartment_type,bedroom,bathroom,toilet,location,price
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ago Extension,behind Community Road Bridge Bucknor, Ago Palace, Isolo, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Igando, Ikotun, Lagos",450000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Near Atlantic Beach Estate, Oniru, Victoria Island (VI), Lagos",4800000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  In An Estate In Lbs Lekki Ajah, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Victoria Island (VI), Lagos",15000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Salem, Lekki, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  1004 Estate, Victoria Island (VI), Lagos",8500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Hakeem Dickson Elf Bustop, Lekki Phase 1, Lekki, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Seliat Bus Stop, Egbeda, Alimosho, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Keji Olajide Estate,majek, Sangotedo, Ajah, Lagos",1100000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Anthony, Maryland, Lagos",4500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",35000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Allen, Ikeja, Lagos",1700000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Lbs Alasia, Ajah, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ologolo, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Opic Estate, Opic, Isheri North, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Serene And Secure Compound Ologolo Lekki, Ologolo, Lekki, Lagos",900000
